"Country or Area","Year","Unit","Value","Value Footnotes"
"Algeria","2005","Metric tons","418",""
"Algeria","2004","Metric tons","566.3",""
"Algeria","2003","Metric tons","782.1",""
"Algeria","2002","Metric tons","800",""
"Algeria","2001","Metric tons","800",""
"Algeria","2000","Metric tons","900",""
"Algeria","1999","Metric tons","1500",""
"Algeria","1998","Metric tons","3000",""
"Algeria","1997","Metric tons","1600",""
"Algeria","1996","Metric tons","2000",""
"Algeria","1995","Metric tons","3600",""
"Armenia","2016","Metric tons","0",""
"Armenia","2015","Metric tons","0",""
"Armenia","2014","Metric tons","0.4",""
"Armenia","2013","Metric tons","1.8",""
"Armenia","2012","Metric tons","4.8",""
"Armenia","2011","Metric tons","0",""
"Armenia","2010","Metric tons","0",""
"Armenia","2009","Metric tons","2.5",""
"Armenia","2008","Metric tons","16",""
"Armenia","2007","Metric tons","39",""
"Armenia","2006","Metric tons","42",""
"Armenia","2005","Metric tons","57",""
"Armenia","2004","Metric tons","58",""
"Armenia","2003","Metric tons","99",""
"Armenia","2002","Metric tons","53",""
"Armenia","2001","Metric tons","34",""
"Armenia","2000","Metric tons","46",""
"Armenia","1999","Metric tons","24",""
"Australia","2007","Metric tons","7738","1"
"Australia","2006","Metric tons","8091","1"
"Australia","2005","Metric tons","12019","1"
"Australia","2004","Metric tons","12925.04","1"
"Australia","2003","Metric tons","14545.65","1"
"Australia","2002","Metric tons","15814.92","1"
"Australia","2001","Metric tons","16325.63","1"
"Australia","2000","Metric tons","19020.27","1"
"Australia","1999","Metric tons","17668.47","1"
"Australia","1998","Metric tons","18077","1"
"Azerbaijan","2016","Metric tons","0",""
"Azerbaijan","2016","Mil. USD","0",""
"Azerbaijan","2015","Metric tons","0",""
"Azerbaijan","2015","Mil. USD","0",""
"Azerbaijan","2014","Metric tons","0",""
"Azerbaijan","2014","Mil. USD","0",""
"Azerbaijan","2013","Metric tons","0",""
"Azerbaijan","2013","Mil. USD","0",""
"Azerbaijan","2012","Metric tons","0",""
"Azerbaijan","2012","Mil. USD","0",""
"Azerbaijan","2011","Metric tons","0",""
"Azerbaijan","2011","Mil. USD","0",""
"Azerbaijan","2010","Metric tons","0",""
"Azerbaijan","2010","Mil. USD","0",""
"Azerbaijan","2009","Metric tons","0.1",""
"Azerbaijan","2009","Mil. USD","0.00087088145644556",""
"Azerbaijan","2008","Metric tons","1.2",""
"Azerbaijan","2008","Mil. USD","0.00243421657842177",""
"Azerbaijan","2007","Metric tons","3.2",""
"Azerbaijan","2007","Mil. USD","0.00629279825139902",""
"Azerbaijan","2006","Metric tons","3.1",""
"Azerbaijan","2006","Mil. USD","0.0447705230875991",""
"Azerbaijan","2005","Metric tons","15.8",""
"Azerbaijan","2005","Mil. USD","0.0211545967352111",""
"Azerbaijan","2004","Metric tons","2.7",""
"Azerbaijan","2004","Mil. USD","0.00407043687490174",""
"Azerbaijan","2003","Metric tons","1.1",""
